PubID,StatusID,Action,Date,Sites,Devices,Genders,Languages,Comment
0,1,Deployed,2024-12-31,"ELC+SLC, All","Desktop, Web, Web",All,All,
0,9,Deployed,2025-01-09,StagingCupid,Web,All,All,Changes added from dev view at 2025-01-09 10:48:31
0,9,Deployed,2025-01-09,StagingCupid,Web,All,All,Changes added from dev view at 2025-01-09 10:48:31
0,6,Feature flag on,2025-01-08,AstroCupid,Web,All,All,Changes added from dev view at 2025-01-09 10:33:01
0,8,Roll Back,2025-01-08,StagingCupid,Web,All,All,Changes added from dev view at 2025-01-09 10:36:19
0,5,Feature flag on,2025-01-08,AsianDating,Web,All,All,Changes added from dev view at 2025-01-08 12:56:46
0,4,Feature flag on,2025-01-08,AfroIntroductions,Web,All,All,Changes added from dev view at 2025-01-08 12:56:13
0,3,Feature flag on,2025-01-08,"StagingCupid, ELC+SLC",Web,All,All,
0,7,Feature flag on,2025-01-08,BBWCupid,Mobile,All,All,Changes added from dev view at 2025-01-09 10:33:13
0,7,Feature flag on,2025-01-08,BBWCupid,Mobile,All,All,Changes added from dev view at 2025-01-09 10:33:13
0,11,Roll Back,2025-01-08,AstroCupid,Web,All,All,Changes added from dev view at 2025-01-09 12:04:35
0,2,Deployed,2024-12-31,EliteCupid,Mobile,All,All,
0,10,Roll Back,2025-01-09,StagingCupid,Web,All,All,Changes added from dev view at 2025-01-09 10:48:52
1,5,Roll Out,2024-12-31,All,Web,All,All,
1,4,Roll Out,2024-12-31,All,Web,All,All,
1,2,Planned,2024-12-31,"AfroIntroductions, ELC+SLC",Web,All,All,
1,3,Planned,2024-12-29,AsianDating,"Desktop, Mobile, Web",All,All,
1,0,Planned,2024-12-23,All,Web,All,All,
1,1,Deployed,,,Web,All,All,
5,0,Expansion,2024-12-29,BBWCupid,Desktop,All,All,dfghjkl
16,0,Expansion,2024-12-29,ELC+SLC,All,All,All,
18,0,Planned,2025-01-02,AfroIntroductions,Web,All,All,
