PubID,Ticket,Name,Platform,Assignee,Start Date,Feature Flag,Planned Sites,Planned Devices,Planned Genders,Planned Languages,Current Status,Analytics,Publication
0,http://127.0.0.1:8050/,Mikhail Sergeev,Hard-coded,,,True,All,Web,All,All,Deployed,,[Mikhail Sergeev (ID:0)](http://127.0.0.1:8050/)
1,http://127.0.0.1:8050/,Mikhail Sergeev2,Hard-coded,Nathalia Pena,,False,All,Web,All,All,Deployed,,[Mikhail Sergeev2 (ID:1)](http://127.0.0.1:8050/)
2,http://127.0.0.1:8050/,Mikhail 3,Hard-coded,Angela Triana,,False,"All, DominicanCupid",Web,All,All,Planned,,[Mikhail 3 (ID:2)](http://127.0.0.1:8050/)
3,http://127.0.0.1:8050/,Mikhail 34,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Planned,,[Mikhail 34 (ID:3)](http://127.0.0.1:8050/)
4,http://127.0.0.1:8050/,Mikhail Sergeev3,Hard-coded,Ranti Wardhani,,False,All,Web,All,All,Planned,,[Mikhail Sergeev3 (ID:4)](http://127.0.0.1:8050/)
5,http://127.0.0.1:8050/,Mikhail Sergeev378989,Retention,Dmitrii Galkin,,False,All,All,All,All,Expansion,,[Mikhail Sergeev378989 (ID:5)](http://127.0.0.1:8050/)
6,http://127.0.0.1:8050/,dfs,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Planned,,[dfs (ID:6)](http://127.0.0.1:8050/)
7,http://127.0.0.1:8050/,Mikhail Sergeev342,Retention,,,False,All,All,Male,All,Planned,,[Mikhail Sergeev342 (ID:7)](http://127.0.0.1:8050/)
8,http://127.0.0.1:8050/,Mikhail Sergeev233234,Hard-coded,Faza Adiguno,2024-12-05,False,All,Web,All,All,Planned,,[Mikhail Sergeev233234 (ID:8)](http://127.0.0.1:8050/)
9,http://rwr42343232.ru/,Mikhail Sergeev432,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Planned,,[Mikhail Sergeev432 (ID:9)](http://rwr42343232.ru/)
10,http://127.0.0.1:8050/,Mikhail Sergeev2332354,Hard-coded,Angela Triana,,True,Core CM,,All,All,Planned,,[Mikhail Sergeev2332354 (ID:10)](http://127.0.0.1:8050/)
11,http://127.0.0.1:8050/,dfs121,Hard-coded,Faza Adiguno,,False,"ColombianCupid, EuroCupid, AfroIntroductions, Core CM, All",,All,All,Planned,,[dfs121 (ID:11)](http://127.0.0.1:8050/)
12,http://127.0.0.1:8050/,dfs121w2,Hard-coded,,,False,,,All,All,Planned,,[dfs121w2 (ID:12)](http://127.0.0.1:8050/)
13,http://127.0.0.1:8050/,Mikhail S342ergeev233234,Hard-coded,Faza Adiguno,2024-12-03,False,"All, Core CM, EuroCupid",Web,All,All,Planned,,[Mikhail S342ergeev233234 (ID:13)](http://127.0.0.1:8050/)
14,http://127.0.0.1:8050/,Mikhail Sergeev233234234,Retention,Nathalia Pena,,False,JapanCupid,"All, Android Wrapper",All,"All, Gujarati",Planned,,[Mikhail Sergeev233234234 (ID:14)](http://127.0.0.1:8050/)
15,http://127.0.0.1:8050/,Mikhail Sergeev4,Retention,Nathalia Pena,,False,"All, EuroCupid","All, Android",All,"All, Main Languages (25)",Planned,,[Mikhail Sergeev4 (ID:15)](http://127.0.0.1:8050/)
16,http://127.0.0.1:8050/,Mikhail Sergeev3ee23,Retention,Nathalia Pena,,False,"ELC+SLC, PinkCupid",All,All,All,Expansion,,[Mikhail Sergeev3ee23 (ID:16)](http://127.0.0.1:8050/)
17,http://127.0.0.1:8050/,Test11,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Planned,,[Test11 (ID:17)](http://127.0.0.1:8050/)
18,http://127.0.0.1:8050/,NewTest,Hard-coded,Faza Adiguno,2024-12-31,True,AfroIntroductions,Web,All,All,Planned,,[NewTest (ID:18)](http://127.0.0.1:8050/)
19,http://127.0.0.1:8050/,TestPublication,Hard-coded,Angela Triana,2025-01-23,False,All,All,All,All,Planned,,[TestPublication (ID:19)](http://127.0.0.1:8050/)
20,http://127.0.0.1:8050/,Mikhail Sergeev4Test2,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Planned,,[Mikhail Sergeev4Test2 (ID:20)](http://127.0.0.1:8050/)
21,http://127.0.0.1:8050/,Mikhail Sergeev233234321313,,,,False,All,Web,All,All,Planned,,[Mikhail Sergeev233234321313 (ID:21)](http://127.0.0.1:8050/)
22,http://127.0.0.1:8050/,Mikhail Sergeev233243243242343234,,,,False,All,Web,All,All,Planned,,[Mikhail Sergeev233243243242343234 (ID:22)](http://127.0.0.1:8050/)
23,http://127.0.0.1:8050/,Mikhail Serge,,,,,,,All,All,Planned,,[Mikhail Serge (ID:23)](http://127.0.0.1:8050/)
24,http://127.0.0.1:8050/,Mikhail Sergeev2332324234,,,,,,,All,All,Planned,,[Mikhail Sergeev2332324234 (ID:24)](http://127.0.0.1:8050/)
25,http://127.0.0.1:8050/,Mikhail Sergeev2456533234,,,,,,,All,All,Planned,,[Mikhail Sergeev2456533234 (ID:25)](http://127.0.0.1:8050/)
